// Wolfenstein 3D: 700 Hz
c58505d7 700 // CORNER
cc64d7a5 700 // DUNGEON
c0263bfd 700 // WARMARCH
79ede518 700 // GETTHEM
54e3d7c6 700 // HEADACHE
8796bd55 700 // HITLWLTZ
fd671a78 700 // INTROCW3
bac26386 700 // NAZI-NOR
f2499d2a 700 // NAZI-OMI
53e5a026 700 // POW
1406bd6c 700 // SALUTE
abd41715 700 // SEARCHN
13848775 700 // SUSPENSE
 abfcd06 700 // VICTORS
15061d40 700 // WONDERIN
76a2a981 700 // FUNKYOU!
fa53af52 700 // GIMMEFAN
c4ad07f1 700 // GOINGAFT
5628d6f4 700 // PREGNANT
b4b765b9 700 // ULTIMATE
eaba7c3d 700 // NAZI-RAP
1a2aeff1 700 // ZEROHOUR
bc516645 700 // 12TH
47d8f2d4 700 // ROSTER
872249f6 700 // URAHERO
c9db25b2 700 // VICMARCH
2882ad03 700 // PACMAN
// Spear of Destiny: 700 Hz
3a3351e4 700 // XFUNKIE
c59492b0 700 // DUNGEON
b1d2a4f7 700 // XDEATH
b4cf5b1b 700 // GETTHEM
e14d3825 700 // XTIPTOE
37151728 700 // GOINGAFT
614d3e33 700 // URAHERO
76b9f53f 700 // XTHEEND
af8644c1 700 // NAZI-OMI
79d58726 700 // POW
1e72f72b 700 // 12TH
e86b410b 700 // SEARCHN
56cc8806 700 // SUSPENSE
374d725d 700 // ZEROHOUR
97b18377 700 // WONDERIN
e9cfec94 700 // ULTIMATE
f7c1ebeb 700 // GIMMEFAN
5ea04330 700 // XEVIL
768d8458 700 // XJAZNAZI
75447c36 700 // HITLWLTZ
cf275f6e 700 // XAWARD
520281d0 700 // XPUTIT
1bdf2e95 700 // XGETYOU
24617aa6 700 // XTOWER2
// Bio Menace: 560 Hz
78e9a98a 560 // CRUISING
249bb7cc 560 // WEASEL
9bfa29ac 560 // BIOTHEM1
98059580 560 // SNAKSAVE
110d8c4f 560 // DIRTYH2O
4ce0d0ed 560 // ROCKINIT
a450156d 560 // BAYOU
76cb1d22 560 // ROBOTY
ccc82c50 560 // PRISONER
8a65049f 560 // DRSHOCK
7b662f0e 560 // CHASING
912fca46 560 // LIKITWAS
cd5bb7f8 560 // APOGFANF
1ef21d2c 560 // SAVED
72fb15ff 560 // RESTING
10591d20 560 // CANTGET
82cee6fe 560 // NONVINCE
fd985d22 560 // XCITY
e522cca6 560 // CRUISING
c1dc5f76 560 // ANTSPANT
5fd1a002 560 // SQUEAKY
824a857e 560 // BITBYTE
a776fd81 560 // SNAKSAVE
bfdf1cdf 560 // DRSHOCK
 67609e0 560 // BIOTHEME
5683594a 560 // PRISONER
10d5bd3d 560 // ROBOTY
99d07bba 560 // BAYOU
a3f7db38 560 // DIRTYH2O
7e010103 560 // MUTCMPUT
500bab9b 560 // WHODOL
2b430efd 560 // CHASING
c0752de7 560 // GUESS
b96b574d 560 // SAVED
e8baf073 560 // RESTING
efca69fa 560 // APOGFANF
a509cb69 560 // CANTGET
379e30b7 560 // NONVINCE
 4928f36 560 // CRUISING
311dbb30 560 // XSEWER
78dee757 560 // XUNCRTN
b0636c6d 560 // BITBYTE
1b9a8902 560 // XSLUDGE
5972971d 560 // SNAKSAVE
a7f733b2 560 // BIOTHEME
a1a2f265 560 // ROCKINIT
9ad702f5 560 // BAYOU
38c4e31c 560 // XCIRCLES
f6642763 560 // XSNEAKY
319dc191 560 // XTHEEVIL
1b2e576b 560 // APOGFANF
c887fdbf 560 // SAVED
aba0d90b 560 // RESTING
c62cfdb3 560 // CANTGET
8edcfd7e 560 // NONVINCE
// Blake Stone - Aliens of Gold: 700 Hz
a75e660e 700 // 2100A
c38922dc 700 // GOLDA
4779e374 700 // APOGFNFM
94f7c49f 700 // DRKHALLA
c22ce5c4 700 // FREEDOMA
3812d904 700 // GENEFUNK
 c96d28d 700 // TIMEA
b69440d1 700 // HIDINGA
bcce4a7a 700 // INCNRATN
86dfb77b 700 // JUNGLEA
 cc6e926 700 // LEVELA
bcc779da 700 // MEETINGA
 441c4f9 700 // STRUTA
fa86ddee 700 // RACSHUFL
7065fbde 700 // RHUMBAAS
5a23d1fe 700 // SEARCHNA
b7493754 700 // THEME
7151e961 700 // THEWAYA
25b09e2c 700 // INTRIGEA
// Blake Stone - Planet Strike: 700 Hz
81c34ac9 700 // CATACOMB
2146465c 700 // STICKS
2b887114 700 // APOGFNFM
61105c83 700 // PLOT
b302587b 700 // CIRCLES
